ID,Title,Year,Architecture Type,Stages,Unsupervised Components,Supervised Components,Integration Mechanism,Anomaly Role,Genuine Hybrid,Zero-day Support,Output Type,Objective
R0093,Machine Learning-Enhanced Cross-Tier Security and Anomaly Detection in Wireless Body Area Networks,2024,multi-stage,3,"One-Class SVM, Isolation Forest","Random Forest, Logistic Regression","sequential-pipeline — anomaly detection at device layer (One-Class SVM) feeds data to hub layer for intrusion detection (Random Forest, Logistic Regression), then to cloud layer for additional ML-based security",filter,Unclear,No,anomaly-score,"To develop a three-layered machine learning-enhanced cross-tier security framework for Wireless Body Area Networks (WBANs) targeting device, hub, and cloud layers with anomaly detection and intrusion detection capabilities."
R0175,An Adaptive Dynamic Anomaly Detection Model for Internet of Medical Things,2026,multi-stage,3,['Z-score filter'],"['Random Forest', 'Artificial Neural Network', 'XGBoost', 'Logistic Regression']",Filter then classify,Filter/gate,Yes,Yes,Binary (normal/attack),
R0177,A Multi-Stage Learning Framework for Detecting Known and Novel Attacks in the Internet of Medical Things,2026,multi-stage,4,Auto-Encoder,"Random Forest, XGBoost, Lightweight CNN (LWCNN)","filter — benign-trained Auto-Encoder flags anomalous flows using reconstruction error, and only flagged flows are passed to the hierarchical supervised classification pipeline",filter,Yes,Yes,multiclass,To design a hybrid multi-stage IoMT intrusion detection framework that combines fast anomaly screening with hierarchical attack attribution and an explicit reject option for detecting both known attacks and zero-day traffic.
R0183,An Explainable Latent-Attention Hybrid Deep Learning Framework for High-Fidelity Intrusion Detection in IoT and Industri,2026,multi-stage,2,Autoencoder,"Residual CNN, LSTM, Self-Attention, Dense MLP",Sequential pipeline,Feature input,Yes,No,Multi-class,
R0192,Optimized Hybrid Approach for Anomaly Detection of DDoS and Network Attacks in IoMT Systems using Autoencoders and TabNe,2024,other,not reported,AutoEncoder,TabNet,other — models are trained and evaluated independently on the same dataset without explicit integration; paper proposes combining AutoEncoder's precision and TabNet's recall but does not describe a pipeline mechanism,other,No,No,binary,To present a hybrid system combining AutoEncoder and TabNet models for anomaly detection of DDoS and network attacks in IoMT systems using the CICIoMT 2024 dataset.
R0204,Adaptive Anomaly Detection in IoT-Connected Healthcare Wearables Using a Combined Random Forest and K-Means Model,2025,two-stage,3,K-Means++,Random Forest,K-Means++ clustering preprocesses training data to generate cluster labels which are then used as input features for Random Forest classification,additional_feature,Yes,No,multiclass,To propose a three-stage anomaly detection approach for IoT wearable healthcare devices using an ensemble of K-Means++ clustering and Random Forest classification to improve detection efficiency and accuracy.
R0214,A Unified AI Framework for Confidentiality Preserving Cyberattack Detection in Healthcare Cyber Physical Networks,2025,ensemble,1,"Autoencoder, Isolation Forest","SVM, Random Forest","parallel-vote — supervised and unsupervised models generate predictions independently, then ensemble voting aggregates predictions using weighted voting: ŷ = argmax_c Σm wm·Pm(c)",ensemble_vote,"Unclear — the paper describes supervised and unsupervised models trained in parallel with ensemble voting aggregation, but does not explicitly describe unsupervised anomaly output feeding into supervised stage in a sequential pipeline",No — paper claims zero-day detection capability but does not describe explicit evaluation protocol using unseen/unknown attack classes or leave-one-attack-out methodology,multiclass,"To propose a unified IDS framework integrating hybrid machine learning (supervised, unsupervised, ensemble) with adaptive differential privacy for detecting cyberattacks including zero-day threats in Healthcare Cyber-Physical Systems while preserving patient data confidentiality."
R0338,Anomaly detection in Internet of medical Things with Blockchain from the perspective of deep neural network,2022,sequential-pipeline,3,Multi-Model Autoencoder (MMAE),"BiLSTM, Fully Connected Classification Network with Residual Learning","The MMAE extracts and fuses low-dimensional feature representations from grouped traffic features, which are then fed into BiLSTM for temporal feature extraction, and finally to a classification network - feature-augmentation pipeline",additional_feature,Unclear,No,multiclass,To design an abnormal traffic detection system with deep neural network for detecting anomalies in IoMT-Blockchain environment using multi-model autoencoders for feature extraction and BiLSTM for temporal feature learning.
R0392,A privacy-aware framework for detecting cyber attacks on internet of medical things systems using data fusion and quantu,2023,two-stage,2,Contractive Deep Auto-encoder (CDAE) with differential privacy,Hybrid Quantum Deep Neural Network (QDNN),"feature-augmentation — the CDAE performs data fusion and dimensionality reduction, and its reduced-dimension output is used as input for the quantum neural network for attack classification",additional_feature,Yes,No,multiclass,"To propose a privacy-aware framework for storing IoMT data in distributed cloud nodes, providing data fusion of heterogeneous IoMT data using differential privacy and deep learning, and efficient cyber-attack detection using quantum deep learning while maintaining data privacy."
R0413,Implementation of art therapy assisted by the internet of medical things based on blockchain and fuzzy set theory,2023,cascade,2,Density-awarded Fuzzy C-means (DFCM),Fuzzy Support Vector Machine (FSVM),Sequential pipeline,Feature input,Yes,No,Multi-class,
R0419,Research on optimizing network intrusion detection using deep learning and big data in intelligent elderly care,2026,ensemble,2,autoencoders,"deep neural networks, convolutional neural networks, recurrent neural networks with long short-term memory, recurrent neural networks with gated recurrent units",stacking - base learners produce probability vectors over traffic classes which are concatenated and fed into a second-stage meta-learner,ensemble_vote,Unclear,No,multiclass,This study develops a stacked deep-learning intrusion detection meta-model for elderly care network settings and evaluates it using the NSL-KDD and CICIDS2018 datasets.
