record_id,title,authors,year,venue,doi,source_database,preprint,fulltext_files,fulltext_available
R0093,Machine Learning-Enhanced Cross-Tier Security and Anomaly Detection in Wireless Body Area Networks,"Shamshuzzoha, Md and Islam, Md. Motaharul",2024,Proceedings of the 3rd International Conference on Computing Advancements,10.1145/3723178.3723179,ACM Digital Library,Yes,R0093_CB6VFBRN.pdf,Yes
R0175,An Adaptive Dynamic Anomaly Detection Model for Internet of Medical Things,"Babu, S. Dilli and Rao, Yamala Veerabhadra and Mounika, Udatha and Reddy, Sidda Harinesh and Reddy, Desireddy Joshith",2026,2026 International Conference on Electronics and Renewable Systems (ICEARS),10.1109/icears67481.2026.11416517,IEEE Xplore,Yes,R0175_7YR2ZL82.pdf; R0175_I2G87CMN.pdf,Yes
R0177,A Multi-Stage Learning Framework for Detecting Known and Novel Attacks in the Internet of Medical Things,"Alfageer, Razan and Ghaleb, Mustafa and Aljoby, Walid and Felemban, Muhamad",2026,IEEE Access,10.1109/access.2026.3677553,IEEE Xplore,Yes,R0177_CHXM4BTI.pdf; R0177_NUKNRTPM.pdf,Yes
R0183,An Explainable Latent-Attention Hybrid Deep Learning Framework for High-Fidelity Intrusion Detection in IoT and Industrial Cyber Systems,"Gupta, Shiva and VERMA, Deepak Kumar and Srivastava, Santosh Kumar and Joshi, Chirag",2026,IEEE Access,10.1109/access.2026.3701636,IEEE Xplore,Yes,R0183_HMKXJSL2.pdf,Yes
R0192,Optimized Hybrid Approach for Anomaly Detection of DDoS and Network Attacks in IoMT Systems using Autoencoders and TabNet,"G, Kirubavathi and Sivakumar, Shreya and Manickam, Sivakumar",2024,2024 4th International Conference on Mobile Networks and Wireless Communications,10.1109/icmnwc63764.2024.10872358,IEEE Xplore,Yes,R0192_DK59QHTH.pdf,Yes
R0204,Adaptive Anomaly Detection in IoT-Connected Healthcare Wearables Using a Combined Random Forest and K-Means Model,"P, Radhakrishnan and B.Saravanan and Ravi Kumar, S. and Vanitha, P and Akanksha, Akanksha and S, Vinayagam",2025,2025 IEEE 6th Global Conference for Advancement in Technology (GCAT),10.1109/gcat66372.2025.11368352,IEEE Xplore,Yes,R0204_FSCKIGGM.pdf,Yes
R0214,A Unified AI Framework for Confidentiality Preserving Cyberattack Detection in Healthcare Cyber Physical Networks,"Praveen, Surapaneni Phani and Kamalrudin, Massila and Musa, Mustafa and Harita, Udayasankar and Ayyappa, Yalanati and Na",2025,International Journal of Innovative Technology and Interdisciplinary Sciences,10.15157/ijitis.2025.8.3.818-841,Scopus,Yes,R0214_DD9NUD74.pdf,Yes
R0338,Anomaly detection in Internet of medical Things with Blockchain from the perspective of deep neural network,Jun Wang and Hanlei Jin and Junxiao Chen and Jinghua Tan and Kaiyang Zhong,2022,Information Sciences,10.1016/j.ins.2022.10.060,ScienceDirect,Yes,R0338_37KNS99M.pdf,Yes
R0392,A privacy-aware framework for detecting cyber attacks on internet of medical things systems using data fusion and quantum deep learning,Muna Al-Hawawreh and M. Shamim Hossain,2023,Information Fusion,10.1016/j.inffus.2023.101889,ScienceDirect,Yes,R0392_N9RGRRC4.pdf,Yes
R0413,Implementation of art therapy assisted by the internet of medical things based on blockchain and fuzzy set theory,Xiaofeng Lu,2023,Information Sciences,10.1016/j.ins.2023.03.044,ScienceDirect,Yes,R0413_KD3Z9IDT.pdf,Yes
