record_id,source_database,search_date,is_preprint,title,authors,year,venue,doi,url,content_type,phase1_identified,phase2_dedup_status,phase3_title_decision,phase3_title_reason,abstract_source,phase4_abstract_decision,phase4_abstract_reason,phase4_ic_met,phase4_ec_triggered,phase5_fulltext_decision,phase5_ec_triggered,phase5_decision_reviewed,phase5_fulltext_reason,phase6_qa_total_score,phase6_qa_meets_threshold,phase7_final_decision
R0093,ACM Digital Library,2026-07-06,False,Machine Learning-Enhanced Cross-Tier Security and Anomaly Detection in Wireless Body Area Networks,"Shamshuzzoha, Md and Islam, Md. Motaharul",2024,Proceedings of the 3rd International Conference on Computing Advancements,10.1145/3723178.3723179,https://doi.org/10.1145/3723178.3723179,inproceedings,Yes,Unique,Passed,,,Uncertain,"The paper addresses IoMT/WBAN environments (IC1) and proposes both anomaly detection (SenseGuard) and intrusion detection systems (IC2), but the abstract does not explicitly confirm whether the architecture combines unsupervised anomaly detection with supervised classification in a hybrid design (IC3).","IC1, IC2",,Excluded,EC3,Accepted,"Domain: WBAN healthcare IoT, satisfies EC1 (in scope). Combines an unsupervised component (One-Class SVM / Isolation Forest, used interchangeably and inconsistently for the same ""Device Tier"" task) with a supervised component (Random Forest / Logistic Regression at ""Hub Tier"") avoids EC3/EC4, though the two stages are not an integrated cascade; they're independent modules deployed at separate network tiers with no fusion mechanism, meta-classifier, or output-forwarding between them. No book chapter, not pre-2019, English, full text available, EC6–EC10 don't apply.",3.5,yes,Accepted
R0175,IEEE Xplore,2026-07-06,False,An Adaptive Dynamic Anomaly Detection Model for Internet of Medical Things,"Babu, S. Dilli and Rao, Yamala Veerabhadra and Mounika, Udatha and Reddy, Sidda Harinesh and Reddy, Desireddy Joshith",2026,2026 International Conference on Electronics and Renewable Systems (ICEARS),10.1109/icears67481.2026.11416517,https://doi.org/10.1109/icears67481.2026.11416517,inproceedings,Yes,Unique,Passed,,,Uncertain,"The paper proposes a hybrid IDS for IoMT combining unsupervised anomaly detection (statistical z-score ROI extraction) with supervised classification (Random Forest, ANN, XGBoost ensemble) in a two-stage architecture.","IC1, IC2, IC3",,Excluded,EC3,Accepted,"Included as a borderline primary study. The paper proposes an adaptive multi-stage IoMT anomaly detection framework combining a statistical ROI filtering stage with a supervised stacking ensemble composed of RF, ANN, and XGBoost. It is directly relevant to hybrid IoMT IDS architectures, adaptive learning, latency-aware detection, and false-positive reduction. However, the output appears to be binary normal/anomaly detection rather than fine-grained attack-type classification, so it should be coded as “binary hybrid IDS” rather than “multiclass attack classification”.",7.0,yes,Accepted
R0183,IEEE Xplore,2026-07-06,False,An Explainable Latent-Attention Hybrid Deep Learning Framework for High-Fidelity Intrusion Detection in IoT and Industrial Cyber Systems,"Gupta, Shiva and VERMA, Deepak Kumar and Srivastava, Santosh Kumar and Joshi, Chirag",2026,IEEE Access,10.1109/access.2026.3701636,https://doi.org/10.1109/access.2026.3701636,article,Yes,Unique,Passed,,,Uncertain,"The paper proposes a hybrid IDS combining autoencoders (unsupervised) with CNN-LSTM (supervised) for IoT and industrial networks, but IoMT/healthcare domain is not explicitly mentioned.","IC2, IC3",,Excluded,EC1,Accepted,"Included with a scope flag. The paper proposes NOVA-XIDS, a hybrid IDS combining autoencoder-based latent representation learning with supervised deep classification using residual CNN, CBAM attention, LSTM, and self-attention. It satisfies the technical hybrid criterion because it combines an unsupervised representation-learning component with a supervised classifier. However, the study is framed as a general IoT/IIoT/industrial IDS and uses IoMT as one dataset within a cross-domain evaluation, so it should be coded as “cross-domain including IoMT” rather than IoMT-specific",6.5,yes,Accepted
R0192,IEEE Xplore,2026-07-06,False,Optimized Hybrid Approach for Anomaly Detection of DDoS and Network Attacks in IoMT Systems using Autoencoders and TabNet,"G, Kirubavathi and Sivakumar, Shreya and Manickam, Sivakumar",2024,2024 4th International Conference on Mobile Networks and Wireless Communications (ICMNWC),10.1109/icmnwc63764.2024.10872358,https://doi.org/10.1109/icmnwc63764.2024.10872358,inproceedings,Yes,Unique,Passed,,,Uncertain,Paper proposes a hybrid IDS for IoMT combining unsupervised AutoEncoder (reconstruction error-based anomaly detection) with supervised TabNet classifier in a two-stage architecture.,"IC1, IC2, IC3",,Excluded,EC3,Accepted,"Included. The paper proposes and evaluates an IoMT anomaly detection framework using the CICIoMT 2024 dataset. It satisfies IC1 and IC2 because it addresses IoMT network security and evaluates anomaly detection for DDoS, DoS, reconnaissance, MQTT-based, and spoofing attacks. It satisfies IC3 because it combines an AutoEncoder-based unsupervised anomaly detection component, using reconstruction error and thresholding, with a TabNet supervised/tabular classification component. The study is a primary conference paper, published in 2024 and written in English. The integration should be coded with caution as a two-model or parallel hybrid framework, since the paper does not fully specify a single fused decision layer.",3.5,yes,Accepted
R0338,ScienceDirect,2026-07-06,False,Anomaly detection in Internet of medical Things with Blockchain from the perspective of deep neural network,Jun Wang and Hanlei Jin and Junxiao Chen and Jinghua Tan and Kaiyang Zhong,2022,Information Sciences,10.1016/j.ins.2022.10.060,https://www.sciencedirect.com/science/article/pii/S0020025522011835,article,Yes,Unique,Passed,,,Uncertain,"The paper addresses IoMT environments (IC1), proposes an anomaly detection system (IC2), and employs a hybrid architecture using autoencoder for unsupervised feature extraction followed by supervised classification tasks (IC3).","IC1, IC2, IC3",,Excluded,EC3,Accepted,"The paper proposes HFMMAD, a hierarchical anomaly detection and classification framework for IoMT-Blockchain traffic. It satisfies IC1 and IC2 because it explicitly addresses abnormal traffic detection in IoMT-Blockchain environments. It satisfies IC3 because the architecture combines a multi-model autoencoder component for unsupervised feature extraction and fusion with a supervised BiLSTM-based sequence classification component using residual learning and Softmax classifiers. The method is evaluated on two IoMT-Blockchain traffic datasets, TADA and TADB, under binary and multiclass anomaly detection settings. Therefore, it fits the strict hybrid IDS criterion combining unsupervised representation learning with supervised classification.",2.0,no,Accepted
R0413,ScienceDirect,2026-07-06,False,Implementation of art therapy assisted by the internet of medical things based on blockchain and fuzzy set theory,Xiaofeng Lu,2023,Information Sciences,10.1016/j.ins.2023.03.044,https://www.sciencedirect.com/science/article/pii/S0020025523003407,article,Yes,Unique,Passed,,,Uncertain,"The paper uses DFCM (unsupervised clustering) combined with FSVM (supervised classification) which appears hybrid, but DFCM is density-based fuzzy clustering not anomaly detection, and the architecture lacks the unsupervised anomaly detection component required by IC3.","IC1, IC2",EC3,Excluded,EC3,Accepted,Implementation of art therapy assisted by the internet of medical things based on blockchain and fuzzy set theory,4.0,yes,Accepted
R0444,ScienceDirect,2026-07-06,False,AIDA: A health informatics-oriented adaptive cybersecurity framework for clinically aware detection and response in healthcare,Mostafa Rahmany,2026,Informatics and Health,10.1016/j.infoh.2026.03.001,https://www.sciencedirect.com/science/article/pii/S294995342600007X,article,Yes,Unique,Passed,,,Accepted,"The paper addresses IoMT healthcare environments (IC1), proposes an intrusion detection framework (IC2), and explicitly combines unsupervised Autoencoder with supervised Random Forest and XGBoost in a multi-model architecture (IC3).","IC1, IC2, IC3",,Excluded,EC3,Accepted,"Included. The paper proposes AIDA, a health informatics-oriented adaptive cybersecurity framework for healthcare environments that integrates EHR logs, IoMT telemetry, and identity/access-control events. It satisfies IC1 because it explicitly addresses healthcare information infrastructures and IoMT-connected clinical environments. It satisfies IC2 because it performs intrusion/anomaly detection, alert correlation, and clinically aware response selection. It satisfies IC3 because the detection stack combines Random Forest and XGBoost supervised models with an Autoencoder unsupervised anomaly-detection component, supported by multisource event fusion, SHAP/LIME explanations, and NSGA-II multi-objective optimization. The paper is a primary research article, published in 2026 and written in English. A limitation is that the evaluation uses CICIDS2017 augmented with synthetic healthcare-specific attack scenarios and a digital twin rather than a native IoMT traffic dataset, so the validation should be coded as healthcare-augmented/simulated rather than fully IoMT-native.",6.5,yes,Accepted
R0446,ScienceDirect,2026-07-06,False,An Auto Encoder-Enhanced Stacked Ensemble for Intrusion Detection in Healthcare Networks,Fatma S. Alrayes and Mohammed Zakariah and Mohammed K. Alzaylaee and Syed Umar Amin and Zafar Iqbal Khan,2025,"Computers, Materials and Continua",10.32604/cmc.2025.068599,https://www.sciencedirect.com/science/article/pii/S1546221825008707,article,Yes,Unique,Passed,,,Uncertain,"The paper addresses healthcare network intrusion detection (IC1, IC2) and uses an autoencoder-enhanced stacked ensemble, but the abstract does not clearly confirm the autoencoder functions as unsupervised anomaly detection in a cascade with supervised classifiers (IC3 unclear).","IC1, IC2",,Excluded,EC3,Accepted,"Included. The paper proposes Auto-Stack ID / AESE, an autoencoder-enhanced stacked ensemble IDS for healthcare networks using the WUSTL-EHMS 2020 dataset. It satisfies IC1 because it addresses healthcare network security with EHRs, Medical IoT devices, biometric sensors, networked medical equipment, and patient-monitoring systems. It satisfies IC2 because it proposes and evaluates an IDS for distinguishing normal traffic from intrusion attacks. It satisfies IC3 because the architecture combines an unsupervised autoencoder for feature enhancement and latent representation learning with supervised base classifiers, including TabNet, LightGBM, Gaussian Naive Bayes, Histogram-Based Gradient Boosting, and Logistic Regression, followed by an XGBoost meta-learner. The paper is a primary research article, published in 2025 and written in English. A coding note should indicate that the autoencoder is used for feature enhancement rather than as a standalone reconstruction-threshold anomaly detector.",4.5,yes,Accepted
R0479,ScienceDirect,2026-07-06,False,Future-Proofing CIA Triad with Authentication for Healthcare: Integrating Hybrid Architecture of ML & DL with IDPS for Robust IoMT Security,Saad Awadh Alanazi and Fahad Ahmad,2025,"Computers, Materials and Continua",10.32604/cmc.2025.066753,https://www.sciencedirect.com/science/article/pii/S1546221825007799,article,Yes,Unique,Passed,,,Accepted,"The paper addresses IoMT security with an IDPS that explicitly combines unsupervised anomaly detection (Autoencoders) with supervised classification (XGB, CNN) in a hybrid architecture.","IC1, IC2, IC3",,Excluded,EC3,Accepted,"Included. The paper proposes an IoMT-oriented IDPS framework integrating ML and DL within a hierarchical security architecture for protecting patient-generated health data under the CIA triad and authentication principles. It satisfies IC3 because the architecture uses ML models for initial anomaly-oriented scrutiny of IoMT/network traffic and DL models for deeper threat verification and classification. The study evaluates multiple ML and DL models, including XGBoost and hybrid CNN+Autoencoder, with the best ML model achieving about 96% accuracy and the best DL hybrid model achieving about 98% accuracy with low false alarm rates. Although the experimental dataset is Edge-IIoTset rather than a purely IoMT-specific dataset, the paper’s system model, motivation, and deployment architecture are explicitly framed for IoMT, medical sensors, PGHD, and healthcare IDPS. Therefore, it is included as a primary hybrid IoMT IDS/IDPS study.",3.0,yes,Accepted
R0483,ScienceDirect,2026-07-06,False,Meta-Fed IDS: Meta-learning and Federated learning based fog-cloud approach to detect known and zero-day cyber attacks in IoMT networks,Umer Zukaib and Xiaohui Cui and Chengliang Zheng and Dong Liang and Salah Ud Din,2024,Journal of Parallel and Distributed Computing,10.1016/j.jpdc.2024.104934,https://www.sciencedirect.com/science/article/pii/S0743731524000984,article,Yes,Unique,Passed,,,Uncertain,"Paper addresses IoMT intrusion detection with multi-phase architecture and clustering plus classifiers, but the abstract does not explicitly confirm the unsupervised-then-supervised hybrid cascade structure required by IC3.","IC1, IC2",,Excluded,EC3,Accepted,"Included. The paper proposes Meta-Fed IDS, a fog-cloud IoMT intrusion detection framework combining meta-learning and federated learning for known attack detection, and Anoml-Fed IDS for zero-day attack detection. It satisfies IC3 because the architecture combines supervised learners, including DT, RF, AdaBoost, Extra Trees, and XGBoost, with an unsupervised anomaly-detection component based on Agglomerative Clustering and biased classifiers for unknown attack detection. The framework is explicitly designed for IoMT networks and is evaluated on M-IoT-Env, WUSTL-EHMS-2020, and M-En datasets. Although M-IoT-Env is partly derived from generic IoT/IIoT datasets, the use of WUSTL-EHMS-2020 and the IoMT-specific fog-cloud deployment architecture support inclusion. Therefore, the paper is included as a primary hybrid IoMT IDS study.",7.0,yes,Accepted
R0491,ScienceDirect,2026-07-06,False,A hybrid lightweight feature extraction assisted ensemble approach for intrusion detection with ESMOTE-based class imbalance handling in IoT networks,T. Ammannamma and ASN Chakravarthy,2026,Computers and Electrical Engineering,10.1016/j.compeleceng.2025.110846,https://www.sciencedirect.com/science/article/pii/S004579062500789X,article,Yes,Unique,Passed,,,Accepted,"The paper proposes a hybrid IDS for IoT/IoMT networks that combines unsupervised feature extraction (SLGRAE autoencoder) with supervised ensemble classification (XGBoost, AdaBoost, Random Forest), and explicitly evaluates on the CIC-IoMT 2024 dataset.","IC1, IC2, IC3",,Excluded,EC1,Accepted,"Included with scope caveat. The paper proposes a hybrid intrusion detection framework combining ESMOTE-based imbalance handling, SLGRAE-ENet deep feature extraction, ImRMR feature selection, and a supervised ensemble of Random Forest, AdaBoost, and XGBoost. It satisfies IC3 because the architecture uses an autoencoder-based representation module, namely the Semi-skipping Layered Gated Recurrent Autoencoder combined with EfficientNet, followed by supervised ensemble classification. The paper is primarily framed for generic IoT intrusion detection rather than exclusively for IoMT, but it evaluates the framework on CIC-IoMT2024 and reports IoMT-specific results, including accuracy, confusion matrix, SHAP analysis, and comparison with CIC-IoMT2024 baselines. Therefore, it is included as a hybrid IDS study with IoMT benchmark validation, while noting that IoMT relevance is dataset-based rather than domain-specific in the system design.",7.0,yes,Accepted
R0555,SpringerLink,2026-07-06,False,Smart defense based on explainable stacked machine learning architecture for securing internet of health things with K-means clustering,Tanzila SabaAmjad RehmanMuhammad MujahidAmal Al-RasheedShaha Al-OtaibiAbdallah Yousif,2025,Scientific Reports,10.1038/s41598-025-21032-3,https://link.springer.com/article/10.1038/s41598-025-21032-3,Article,Yes,Unique,Passed,,OpenAlex,Uncertain,"The paper addresses IoHT/healthcare IoT (IC1), proposes an intrusion detection system for cyber threats (IC2), and combines unsupervised K-means clustering for pattern discovery with supervised stacked ensemble classification in a hybrid architecture (IC3).","IC1, IC2, IC3",,Excluded,IC3 ambiguous,Accepted,"Included. The paper proposes Smart Defence-IoHT, an explainable stacked machine learning IDS for healthcare IoT/IoHT networks. It satisfies IC3 because it combines an unsupervised K-means clustering component with a supervised stacked classification architecture. K-means is applied to uncover latent structural patterns in ECU-IoHT network traffic, and the resulting cluster labels are appended as enriched features. The supervised stage combines Random Forest, KNN, and Gradient Boosting base classifiers, with a Random Forest meta-model used for stacking. The study is healthcare-specific, evaluates the framework on ECU-IoHT and additionally on WUSTL-EHMS-2020, and applies SHAP and LIME for interpretability. Therefore, it is included as a primary hybrid healthcare IoT IDS study, with the caveat that the unsupervised stage is used for feature enrichment rather than standalone anomaly filtering.",5.0,yes,Accepted
R0571,SpringerLink,2026-07-06,False,Blockchain-Based intrusion detection system for IoMT utilizing an enhanced artificial bee colony (E-ABC) and deep belief network (DBN),Augusta Kani GAnurekha GBharathi NAAncy Micheal A,2026,Peer-to-Peer Networking and Applications,10.1007/s12083-025-02108-3,https://link.springer.com/article/10.1007/s12083-025-02108-3,Article,Yes,Unique,Passed,,Springer,Uncertain,The system uses E-ABC optimization with DBN (both supervised techniques) without incorporating unsupervised anomaly detection as a separate stage in the architecture.,"IC1, IC2",EC3,Excluded,EC3,Accepted,"Included. The paper proposes a blockchain-enabled IoMT intrusion-detection framework that, according to its detailed methodology and Algorithm 3, combines an unsupervised autoencoder with a supervised Naive Bayes classifier. The autoencoder learns compressed representations and produces reconstruction errors used as anomaly scores. The encoded features and corresponding labels are then used to train Naive Bayes. During inference, a sample whose reconstruction loss exceeds a predefined threshold is labelled as an anomaly; otherwise, the Naive Bayes prediction is used. This constitutes an explicit multi-stage unsupervised–supervised IDS and satisfies IC3. E-ABC performs feature selection and parameter optimization but is not itself the anomaly detector. The paper should nevertheless be flagged for severe internal inconsistency: the title and abstract describe E-ABC with a Deep Belief Network, whereas the methodology, architecture diagram, Algorithm 3, results discussion, and conclusion implement and describe an Autoencoder–Naive Bayes model. The empirical evaluation also uses the generic NSL-KDD dataset rather than an IoMT-specific dataset.",4.5,yes,Accepted
R0804,SpringerLink,2026-07-06,False,Enhancing IoMT edge security through federated small language models and knowledge-defined networks,Ahmed Raoof Tawfeeq Al-HasaniAli BroumandniaHamid Haj Seyyed Javadi,2026,The Journal of Supercomputing,10.1007/s11227-026-08661-9,https://link.springer.com/article/10.1007/s11227-026-08661-9,Article,Yes,Unique,Passed,,Springer,Uncertain,"The paper addresses IoMT intrusion/anomaly detection (IC1, IC2 met), but uses federated small language models for semantic anomaly detection without clear evidence of a hybrid architecture combining unsupervised anomaly detection with supervised classification stages.","IC1, IC2",,Excluded,EC3,Accepted,"Included. The paper proposes FSLM-KDN, a multilayer IoMT edge-security architecture combining supervised TinyBERT/DistilBERT-based threat scoring with an operational unsupervised statistical rate-anomaly score calculated over sliding traffic windows. These outputs are fused with telemetry, trust, geolocation, and threat-intelligence evidence to calculate a composite threat score and trigger adaptive actions such as rate limiting, isolation, packet dropping, or traffic redirection. The study is IoMT-specific, evaluates intrusion detection using CICIoMT2024 and a hospital deployment, is original research published in 2026, and is written in English. Therefore, it satisfies IC1–IC6, including IC3 as a hybrid unsupervised-statistical and supervised-Transformer IDS.",7.0,yes,Accepted
R0957,SpringerLink,2026-07-06,False,Blockchain and deep learning for improving impenetrable data passage in the IoT-imbued healthcare system,Isaac Osei AsanteLibing Wu,2025,Cluster Computing,10.1007/s10586-025-05398-7,https://link.springer.com/article/10.1007/s10586-025-05398-7,Article,Yes,Unique,Passed,,Springer,Uncertain,"The paper addresses IoT-imbued healthcare systems (IC1), proposes an intrusion detection system with real-time anomaly detection (IC2), and combines unsupervised Deep Variational Autoencoder for feature extraction with supervised BiLSTM for classification in a hybrid architecture (IC3).","IC1, IC2, IC3",,Excluded,EC3,Accepted,"Accept (borderline) — genuine hybrid architecture, but with domain-fit and dataset caveats This is the first paper in this batch that presents a genuine hybrid unsupervised + supervised cascade as defined by IC3, so it merits full consideration rather than automatic exclusion on architecture grounds.",5.0,yes,Accepted
