ID,Title,Unsupervised Detail,Supervised Detail,Threshold Strategy,Granularity,Feature Type,Explainability,Deployment Target,Latency,Memory,Energy,FPR,Patient Safety,Federated Learning
R0093,Machine Learning-Enhanced Cross-Tier Security and Anomaly Detection in Wireless Body Area Networks,"One-Class SVM, Isolation Forest","Random Forest, Logistic Regression",dynamic,per-layer,physiological,None,mixed,not reported,not reported,not reported,not reported,Yes,No
R0175,An Adaptive Dynamic Anomaly Detection Model for Internet of Medical Things,ROI extraction engine computing Z-score deviation from moving average per packet window for filtering,"Random Forest (200 estimators), ANN (2 hidden layers: 128 & 64 neurons, ReLU, sigmoid output), XGBoost (max_depth=6, learning_rate=0.1), meta-learner Logistic Regression",Statistical,Global,Flow-based,Feature importance,Gateway,Yes,No,No,Yes,Yes,No
R0177,A Multi-Stage Learning Framework for Detecting Known and Novel Attacks in the Internet of Medical Th,AE — benign-trained Auto-Encoder using reconstruction error,"RF, XGBoost, Lightweight CNN (LWCNN)",fixed — empirically selected confidence threshold for rejecting low-confidence predictions as Unknown,global,flow-based,not reported,gateway,not reported,not reported,not reported,not reported,Yes,No
R0183,An Explainable Latent-Attention Hybrid Deep Learning Framework for High-Fidelity Intrusion Detection,64-dimensional autoencoder with fully connected encoder–decoder layers trained with MSE reconstruction loss using Adam optimizer,"Residual CNN with CBAM (Conv1D layers, 64–256 filters), LSTM(256), self-attention pooling, dense layers; trained with Sparse Focal Loss (α=0.25, γ=2), Adam lr=1e-4, batch=4096, 5 epochs",not reported,Global,Flow-based,"SHAP, Attention",Edge,Yes,Yes,No,No,No,No
R0192,Optimized Hybrid Approach for Anomaly Detection of DDoS and Network Attacks in IoMT Systems using Au,AE,TabNet,percentile,global,flow-based,None,not reported,not reported,not reported,not reported,not reported,No,No
R0204,Adaptive Anomaly Detection in IoT-Connected Healthcare Wearables Using a Combined Random Forest and,K-Means++,RF,not reported,global,mixed,None,mixed,not reported,not reported,not reported,not reported,No,No
R0214,A Unified AI Framework for Confidentiality Preserving Cyberattack Detection in Healthcare Cyber Phys,"Autoencoder, Isolation Forest","SVM, RF",not reported,global,flow-based,None,cloud,not reported,not reported,not reported,not reported,No,Yes
R0338,Anomaly detection in Internet of medical Things with Blockchain from the perspective of deep neural,Multi-Model Autoencoder (MMAE) - grouped feature autoencoders with fusion layer,"BiLSTM, Fully Connected Network with Residual Learning",not reported,global,flow-based,None,not reported,not reported,not reported,not reported,not reported,No,No
R0392,A privacy-aware framework for detecting cyber attacks on internet of medical things systems using da,Contractive Deep Auto-encoder (CDAE) with differential privacy,Hybrid Quantum Deep Neural Network (QDNN) - classical layers combined with quantum layer using variational quantum circuit,not reported,global,mixed,None,cloud,not reported,not reported,not reported,not reported,Yes,No
R0413,Implementation of art therapy assisted by the internet of medical things based on blockchain and fuz,"Density-awarded Fuzzy C-means with Gaussian kernel, uses local density (ρ_i) and characteristic distance (δ_i) for cluster center initialization, kernelized objective J_DFCM (eqs 1–18)","Fuzzy SVM with cost-sensitive weights s_i from DFCM membership, solves QP (eqs 19–28) with kernel φ(x) and regularization C",not reported,Global,Flow-based,none,not reported,No,No,No,Yes,No,No
R0419,Research on optimizing network intrusion detection using deep learning and big data in intelligent e,AE,"DNN, CNN, LSTM, GRU",not reported,global,flow-based,not reported,edge-cloud,not reported,not reported,not reported,not reported,Yes,No
R0444,AIDA: A health informatics-oriented adaptive cybersecurity framework for clinically aware detection,Autoencoder,"Random Forest, XGBoost",adaptive,not reported,mixed,SHAP,not reported,18 s average detection latency,not reported,not reported,0.037 ± 0.001 (cross-validation mean),Yes,No
R0446,An Auto Encoder-Enhanced Stacked Ensemble for Intrusion Detection in Healthcare Networks,"AE — deep autoencoder with encoder-decoder structure, bottleneck layer of 10 neurons, ReLU activation, trained with MSE reconstruction loss","TabNet, LightGBM, Gaussian Naive Bayes, Histogram-Based Gradient Boosting, Logistic Regression as base classifiers; XGBoost as meta-learner",not reported,global,"mixed — network traffic logs combined with biometric/physiological signals (heart rate, respiratory rate, blood pressure, SpO2, pulse rate, temperature)",SHAP,not reported,not reported,not reported,not reported,not reported,No,No
