ID,Title,Datasets,Dataset Type,IoMT Specific,# DS,Cross-DS Validation,Per-device Eval.,Unknown Attack Eval.,Operational Metrics,FPR Clinical,XAI Present,Code Available,Baselines Compared,Patient Safety,Reported Metrics,Best Result,Limitations (authors)
R0093,Machine Learning-Enhanced Cross-Tier Security and Anomaly Detection in Wireless Body Area Networks,secondary datasets (not named),not reported,No,1,No,No,No,No,No,No,not reported,No,No,"accuracy, precision, recall, F1","Logistic Regression: Accuracy 1.00, Precision 1.00, Recall 1.00, F1 1.00",not reported
R0175,An Adaptive Dynamic Anomaly Detection Model for Internet of Medical Things,Custom simulated medical network dataset,Simulated,Yes,1,No,No,Yes,Yes,No,No,No,Yes,Yes,"Accuracy, Recall, Precision, F1-Score, AUC, Latency, CPU utilization, FPR","Accuracy 98.2%, FPR 1.8%, Latency 47ms","System struggles with fully encrypted traffic where header info is insufficient for detection, and relies on accurate expert labeling in the feedback loop; mislabeling can degrade performance"
R0177,A Multi-Stage Learning Framework for Detecting Known and Novel Attacks in the Internet of Medical Th,CICIoMT2024,public-benchmark,Yes,1,No,No,Yes,Yes,No,No,not reported,Yes,Yes,accuracy,"99.63% anomaly-detection accuracy, 99.89% binary accuracy, 99.95% categorical accuracy, 99.77% multiclass accuracy on CICIoMT2024","In online evaluation with held-out attacks, the framework shows lower rejection for unseen reconnaissance traffic due to feature overlap among reconnaissance subtypes"
R0183,An Explainable Latent-Attention Hybrid Deep Learning Framework for High-Fidelity Intrusion Detection,"CSE-CIC-IDS2018, CIC-BCCC-NRC-IoMT-2024, CIC-IIoT-2025",Mixed,Yes,3,Yes,No,No,Yes,No,Yes,No,Yes,No,"Accuracy, Precision, Recall, F1-score, Weighted F1, Macro ROC-AUC, Top-3 Accuracy, Top-5 Accuracy, MCC, Balanced Accuracy, Kappa","Accuracy 97.11%, Weighted F1 96.14%, ROC-AUC 0.9965",Minority-class performance is low due to extreme class imbalance; future work to explore data augmentation and class-balanced representation learning.
R0192,Optimized Hybrid Approach for Anomaly Detection of DDoS and Network Attacks in IoMT Systems using Au,CICIoMT 2024,public-benchmark,Yes,1,No,No,No,No,No,No,not reported,Yes,No,"precision, recall, F1, accuracy",Weighted F1-score of 1.00 on MQTT-DoS-Publish Flood with TabNet; overall hybrid framework accuracy 0.96,"The principal constraint of this research resides in the breadth of the datasets employed, which, although extensive, may not entirely encompass the diversity and intricacy of all potential IoMT attack patterns."
R0204,Adaptive Anomaly Detection in IoT-Connected Healthcare Wearables Using a Combined Random Forest and,BRFSS (Behavioral Risk Factor Surveillance System),public-benchmark,No,1,No,No,No,No,No,No,not reported,Yes,No,"accuracy, precision, recall, F1-Score",Accuracy 97.56% using KMeans++-RF,not reported
R0214,A Unified AI Framework for Confidentiality Preserving Cyberattack Detection in Healthcare Cyber Phys,"Healthcare Intrusion Detection Benchmark (HIDB), supplementary healthcare IoT traces",public-benchmark,Yes,2,No,No,No,No,No,No,not reported,Yes,No,"accuracy, precision, recall, F1, AUC-ROC","Accuracy 97.5%, Precision 96.8%, Recall 95.9%, F1-score 96.3%, AUC-ROC 98.2% without DP on HIDB",Dataset scope can be expanded
R0338,Anomaly detection in Internet of medical Things with Blockchain from the perspective of deep neural,not reported,not reported,No,not reported,No,No,No,No,No,No,not reported,not reported,No,not reported,not reported,"First, the structure of the anomaly detection model proposed in this paper is relatively complex, and it is necessary to study more flexible algorithms in future research. Second, this study does not fully cover the attack categories in the real network environment, and it is necessary to simulate the real network environment in future research."
R0392,A privacy-aware framework for detecting cyber attacks on internet of medical things systems using da,"WUSTL-EHMS-2020, ICU dataset",public-benchmark,Yes,2,No,No,No,No,No,No,not reported,Yes,No,"accuracy, precision, recall, F1, other",not reported,not reported
R0413,Implementation of art therapy assisted by the internet of medical things based on blockchain and fuz,"Aggregation, Flame, Spiral, Jain, Iris, Wine, Ionosphere, Seeds, Segmentation, WDBC, WSN-DS",Mixed,No,11,No,No,No,No,No,No,No,Yes,No,"Accuracy, NMI, ARI, False Alarm Rate, False Positive Rate, AUC, Packet Loss Rate, Transmission Security",Accuracy 99.8%,"Method not tested on mobile sensing nodes, which are increasingly prevalent, limiting applicability in dynamic IoMT environments."
R0419,Research on optimizing network intrusion detection using deep learning and big data in intelligent e,"NSL-KDD, CICIDS2018",public-benchmark,No,2,Yes,No,No,No,No,No,not reported,Yes,No,"accuracy, precision, recall, F1-score","Accuracy 99.85%, Precision 99.2%, Recall 99.1%, F1-score 99.15%",showed strong detection for frequent service-disruption and reconnaissance attacks while remaining less sensitive to rare exploit categories (approximately 0.85 precision/recall for low-support classes)
R0444,AIDA: A health informatics-oriented adaptive cybersecurity framework for clinically aware detection,CICIDS2017 augmented with synthetic healthcare-specific attack scenarios,public-benchmark,No,1,No,No,No,Yes,Yes,Yes,not reported,Yes,Yes,"AUC, AUCPR, F1, precision, recall, FPR, latency, PCDI","AUC of 0.961, AUCPR of approximately 0.955, average detection latency of 18 s, PCDI reduced by approximately 37% relative to baseline","The evaluation dataset, although diverse, cannot represent every possible IoMT configuration, and the synthetic augmentation strategy cannot fully reproduce the heterogeneity of live hospital infrastructures. The current simulations provide strong evidence, but they do not replace prospective deployment studies in real EHR and device ecosystems. Benchmarking CARE and C4 remains partly conceptual."
R0446,An Auto Encoder-Enhanced Stacked Ensemble for Intrusion Detection in Healthcare Networks,WUSTL-EHMS 2020,public-benchmark,Yes,1,No,No,No,No,No,Yes,not reported,Yes,No,"accuracy, F1, precision, recall","Accuracy 98.41%, F1 score 93.45% on WUSTL-EHMS 2020",The models may not generalize across different datasets. Ongoing efforts will be deployed in real time to improve response to evolving threats.
R0457,A Fuzzy-Based Duo-Secure Multi-Modal Framework for IoMT Anomaly Detection,WUSTL-EHMS-2020,real-IoMT-traffic,Yes,1,No,No,No,No,No,No,not reported,No,Yes,"accuracy, precision, recall, F1-score","Individual accuracy 92.95% for heart disease prediction, multimodal joint accuracy 89.67% for combined network malware identification and heart disease prediction",not reported
R0479,Future-Proofing CIA Triad with Authentication for Healthcare: Integrating Hybrid Architecture of ML,Edge-IIoTset,public-benchmark,No,1,No,No,No,No,No,No,not reported,Yes,No,"accuracy, FAR, FDR","CNN+AE achieved 98% accuracy, XGB achieved 96% accuracy on Edge-IIoTset",not reported
R0483,Meta-Fed IDS: Meta-learning and Federated learning based fog-cloud approach to detect known and zero,"M-IoT-Env, EHMS-2020, M-En, IoTID-20, WUSTL-IIOT-2021",Mixed,Partially,3,Yes,No,Yes,No,No,Partially,No,Yes,No,"Accuracy, Precision, Recall, F1-score, AUC, MCC","Accuracy 99.92%, F1-score 99.92%","Latency from fog to cloud transfers, shared cloud resource contention, and computational overhead"
R0491,A hybrid lightweight feature extraction assisted ensemble approach for intrusion detection with ESMO,"Bot-IoT, CIC-DDoS2019, CSE-CIC-IDS2018, NSL-KDD, CIC-IoT2023, CIC-IoMT2024",Public benchmark,Yes,6,No,No,No,Yes,No,Yes,No,Yes,No,"accuracy, precision, recall, F1-score, FAR, MSE, RMSE, specificity, kappa, AUC, training time, inference time","Accuracy 99.96%, F1 99.94%","Limited interpretability, no privacy or adaptive zero-day support, evaluated only on public datasets"
R0495,GEMLIDS-MIOT: A Green Effective Machine Learning Intrusion Detection System based on Federated Learn,MQTT-IOT-IDS2020,public-benchmark,No,1,No,No,Yes,Yes,No,No,not reported,Yes,No,"accuracy, power consumption, CPU utilization, memory","Enhanced Random Forest 99.98% accuracy for classification, One-Class SVM 99.7% accuracy for anomaly detection",Future studies of this work will focus on enhancing the scalability and efficiency of our Intrusion Detection System in MIoT networks
R0531,Spatial–temporal graph neural network with autoencoder pretraining for intrusion detection in health,"IoT Healthcare Security Dataset, TON-IoT",public-benchmark,Yes,2,Yes,No,Partial,No,No,No,not reported,Yes,No,"accuracy, F1, ROC-AUC, PR-AUC, Macro-F1, per-class F1","Accuracy 98.6%, F1-score 0.983, ROC-AUC 0.992 on IoT Healthcare dataset (binary); Macro-F1 0.941 (multiclass); Cross-domain: 95.1% accuracy on TON-IoT",not reported
R0555,Smart defense based on explainable stacked machine learning architecture for securing internet of he,ECU-IoHT,public-benchmark,Yes,1,No,No,No,No,No,Yes,not reported,Yes,No,"accuracy, precision, F1, AUC, MCC, log loss, recall, Kappa","Accuracy 99.41%, Precision 99.39%, F1 99.40%, AUC 99.93%, MCC 98.72%, Log Loss 0.0221 on ECU-IoHT dataset",not reported
R0571,Blockchain-Based intrusion detection system for IoMT utilizing an enhanced artificial bee colony (E-,NSL-KDD,Public benchmark,No,1,No,No,No,No,No,No,Yes,Yes,No,"Accuracy,Precision,Recall,F1-score,False alarm rate,Detection rate,AUC-ROC","Precision 97.5%, Recall 97.1%, AUC-ROC 0.976","Evaluated only on NSL-KDD benchmark, may be computationally intensive for resource-constrained IoMT devices, limited to known attack categories, lacks adaptive and continual learning mechanisms"
R0639,A hybrid blockchain based deep learning model for multivector attack detection in internet of things,"IoT-Flock, CICIoT2023",public-benchmark,No,2,Yes,No,No,Yes,No,No,not reported,Yes,Yes,"accuracy, latency, network throughput, consensus delay, validation success rate",Accuracy 96.73% on IoT-Flock and 93.58% on CICIoT2023 with detection latency less than 16 ms,"Cross-dataset testing showed average score ranges from 11.52% to 13.55%, indicating moderate generalization capability"
R0696,"Hybrid deep learning-enabled framework for enhancing security, data integrity, and operational perfo","MIMIC-III Waveform Database, MIT-BIH Arrhythmia Dataset, proprietary noise-injected ECG dataset",mixed,Yes,3,Yes,Yes,No,Yes,No,No,not reported,Yes,Yes,"F1, accuracy, latency","F1-score 94.3% for anomaly detection, 96.1% accuracy in access decision classification",not reported
R0736,Dynamic Weighted K-Asynchronous Federated Learning for Privacy-Preserving Intrusion Detection in Wir,"CIC-IDS2018, MIMIC-III",mixed,Yes,2,No,Yes,No,Yes,No,No,not reported,Yes,Yes,"accuracy, F1, convergence latency, communication energy, accuracy drop under adversarial conditions",Accuracy 97.5% and F1-score 0.968 on fused CIC-IDS2018 and MIMIC-III dataset,not reported
